date,ticker,headline,true_label,volume_usd_millions,predicted_label,sentiment_score,prob_positive,prob_negative,prob_neutral
2024-01-27,BTC,Analysts maintain hold rating on BTC amid mixed signals,neutral,3745274.8477045973,negative,-0.6769464462995529,0.14478035271167755,0.8217267990112305,0.0334928072988987
2024-08-20,SOL,SOL climbs on news of favorable regulatory clarity,positive,8270225.691461917,positive,0.7027537301182747,0.793858528137207,0.09110479801893234,0.11503668874502182
2024-01-26,AVAX,Analysts maintain hold rating on AVAX amid mixed signals,neutral,2722708.4158472703,negative,-0.7742002531886101,0.1004653051495552,0.8746655583381653,0.024869106709957123
2024-07-28,ADA,ADA rallies after major exchange announces listing expansion,positive,4441938.494846587,neutral,-0.09463158249855042,0.21644270420074463,0.31107428669929504,0.4724830090999603
2024-08-08,ADA,ADA trades sideways ahead of upcoming network upgrade,neutral,4824970.084728562,negative,-0.4927309900522232,0.1985025852918625,0.6912335753440857,0.110263891518116
2024-08-16,MATIC,Network outage sparks MATIC sell-off across major exchanges,negative,8733699.526436653,negative,-0.9535605562850833,0.012202833779156208,0.9657633900642395,0.022033769637346268
2024-09-08,SOL,SOL plunges 16% after exchange hack triggers panic selling,negative,10851689.92173755,negative,-0.8250607140362263,0.044769417494535446,0.8698301315307617,0.08540035784244537
2024-05-15,SOL,SOL slides after downgrade from institutional research desk,negative,8986590.482795777,negative,-0.6857900470495224,0.10370327532291412,0.7894933223724365,0.10680337995290756
2024-08-22,ETH,Regulators announce crackdown as ETH sinks on compliance fears,negative,11595155.956112312,negative,-0.9209177661687136,0.017959458753466606,0.9388772249221802,0.0431632474064827
2024-07-12,DOT,Whale accumulation lifts DOT sentiment as trading volume builds,positive,10537447.216366025,positive,0.8390807658433914,0.8904660940170288,0.05138532817363739,0.05814855173230171
2024-05-15,MATIC,MATIC plunges 20% after exchange hack triggers panic selling,negative,9811506.65831276,negative,-0.9010662715882063,0.020678551867604256,0.9217448234558105,0.05757668614387512
2024-03-09,ETH,ETH breaks key resistance level as bulls take control,positive,6164975.490320622,positive,0.6617362424731255,0.7813377976417542,0.11960155516862869,0.09906062483787537
2024-09-14,ADA,"Liquidity concerns weigh on ADA, price drops sharply",negative,6090787.084967201,negative,-0.9529861593618989,0.011642894707620144,0.964629054069519,0.023728054016828537
2024-09-05,XRP,XRP climbs on news of favorable regulatory clarity,positive,5809819.813233305,positive,0.8940885625779629,0.9256468415260315,0.03155827894806862,0.042794790118932724
2024-07-29,AVAX,AVAX rallies after major exchange announces listing expansion,positive,10996289.006193178,neutral,0.12991759181022644,0.3405224084854126,0.21060481667518616,0.44887277483940125
2024-04-16,SOL,"Liquidity concerns weigh on SOL, price drops sharply",negative,7250431.57676708,negative,-0.94360083155334,0.014947356656193733,0.9585481882095337,0.02650441974401474
2024-07-22,XRP,Network outage sparks XRP sell-off across major exchanges,negative,5479449.511126138,negative,-0.9542034454643726,0.011128585785627365,0.96533203125,0.023539362475275993
2024-08-21,ADA,ADA price stable as market awaits Federal Reserve decision,neutral,6493473.89885382,positive,0.47623831033706665,0.5532366037368774,0.07699829339981079,0.3697650730609894
2024-05-29,XRP,XRP falls to multi-month low amid broader risk-off sentiment,negative,9963709.931657648,negative,-0.9540990609675646,0.009573755785822868,0.9636728167533875,0.026753388345241547
2024-01-14,BTC,Whale accumulation lifts BTC sentiment as trading volume builds,positive,8146929.0906738015,positive,0.9128349870443344,0.9408117532730103,0.027976766228675842,0.03121141530573368
2024-10-03,AVAX,Whale accumulation lifts AVAX sentiment as trading volume builds,positive,6217843.413444755,positive,0.9179077930748463,0.9432527422904968,0.02534494921565056,0.03140221908688545
2024-08-11,DOT,DOT climbs on news of favorable regulatory clarity,positive,5721444.951170431,positive,0.7663507908582687,0.8423573970794678,0.07600660622119904,0.08163601905107498
